"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"Nov '20","3.220","2.590","3.270","2.550","211,89M","22,90%"
"Okt '20","2.620","2.600","2.850","2.600","146,37M","2,34%"
"Sep '20","2.560","2.870","2.970","2.540","235,61M","-10,49%"
"Ags '20","2.860","3.050","3.060","2.860","204,26M","-6,23%"
"Jul '20","3.050","3.070","3.190","3.000","95,79M","0,00%"
"Jun '20","3.050","3.160","3.390","2.990","258,07M","-3,17%"
"Mei '20","3.150","3.370","3.390","3.020","276,09M","-10,00%"
"Apr '20","3.500","3.180","3.540","3.000","163,17M","10,76%"
"Mar '20","3.160","3.470","3.880","2.450","151,30M","-9,46%"
"Feb '20","3.490","3.800","3.850","3.340","1,62B","-8,16%"
"Jan '20","3.800","3.970","4.030","3.780","1,52B","-4,28%"
"Des '19","3.970","3.960","4.110","3.900","1,60B","1,02%"
"Nov '19","3.930","4.090","4.200","3.800","2,16B","-4,38%"
"Okt '19","4.110","4.400","4.400","4.060","1,62B","-4,64%"
"Sep '19","4.310","4.440","4.450","4.150","1,66B","-3,15%"
"Ags '19","4.450","4.300","4.500","4.050","2,06B","3,49%"
"Jul '19","4.300","4.200","4.370","4.110","1,51B","3,86%"
"Jun '19","4.140","4.000","4.200","3.840","1,47B","6,15%"
"Mei '19","3.900","3.760","3.930","3.480","2,20B","2,90%"
"Apr '19","3.790","3.950","4.090","3.730","1,48B","-4,05%"
"Mar '19","3.950","3.890","3.970","3.700","1,41B","2,33%"
"Feb '19","3.860","3.910","3.940","3.730","1,41B","-1,03%"
"Jan '19","3.900","3.750","4.050","3.690","2,06B","4,00%"
"Des '18","3.750","3.740","3.840","3.610","1,56B","1,90%"
"Nov '18","3.680","3.850","4.110","3.680","1,81B","-4,42%"
"Okt '18","3.850","3.610","3.910","3.460","2,00B","5,77%"
"Sep '18","3.640","3.520","3.670","3.250","1,77B","4,30%"
"Ags '18","3.490","3.570","3.670","3.270","2,94B","-2,24%"
"Jul '18","3.570","3.800","4.110","3.550","1,90B","-4,80%"
"Jun '18","3.750","3.540","3.860","3.510","1,90B","6,53%"
"Mei '18","3.520","3.810","3.880","3.250","2,51B","-8,09%"
"Apr '18","3.830","3.640","3.890","3.570","1,64B","6,39%"
"Mar '18","3.600","4.050","4.200","3.520","2,37B","-10,00%"
"Feb '18","4.000","4.030","4.080","3.920","1,53B","0,25%"
"Jan '18","3.990","4.430","4.460","3.920","2,52B","-10,14%"
"Des '17","4.440","4.180","4.460","4.110","1,29B","6,99%"
"Nov '17","4.150","4.070","4.350","3.910","2,34B","2,98%"
"Okt '17","4.030","4.690","4.710","4.010","3,76B","-13,89%"
"Sep '17","4.680","4.710","4.750","4.610","1,39B","-0,21%"
"Ags '17","4.690","4.700","4.840","4.650","1,25B","0,00%"
"Jul '17","4.690","4.530","4.790","4.500","1,68B","3,76%"
"Jun '17","4.520","4.400","4.540","4.290","1,52B","3,91%"
"Mei '17","4.350","4.410","4.670","4.270","1,85B","-0,46%"
"Apr '17","4.370","4.130","4.520","4.010","1,58B","5,81%"
"Mar '17","4.130","3.870","4.190","3.810","1,79B","7,27%"
"Feb '17","3.850","3.910","3.980","3.830","1,49B","-0,52%"
"Jan '17","3.870","3.950","4.030","3.780","1,28B","-2,76%"
"Des '16","3.980","3.820","4.020","3.670","1,49B","5,29%"
"Nov '16","3.780","4.230","4.300","3.640","2,68B","-10,43%"
"Okt '16","4.220","4.360","4.400","4.120","1,37B","-2,09%"
"Sep '16","4.310","4.150","4.400","3.950","2,01B","2,38%"
"Ags '16","4.210","4.350","4.570","4.060","2,21B","-0,47%"
"Jul '16","4.230","4.010","4.500","3.950","1,61B","6,28%"
"Jun '16","3.980","3.730","4.010","3.710","1,81B","7,57%"
"Mei '16","3.700","3.410","3.800","3.410","1,98B","4,23%"
"Apr '16","3.550","3.330","3.810","3.305","2,02B","7,25%"
"Mar '16","3.310","3.236","3.484","3.236","2,17B","2,29%"
"Feb '16","3.236","3.275","3.494","3.126","1,93B","-3,11%"
"Jan '16","3.340","3.080","3.385","3.045","1,75B","7,57%"